Hash,Date,Author,Refs,Message
"50cda9c","2025-05-23 22:57:21 +1000","Your Name","","Uploaded and created Leaderboard Screenshots"
"4da8ca0","2025-05-23 22:41:38 +1000","Your Name","","Finished Test Cases and added"
"01eef89","2025-05-23 20:20:34 +1000","Your Name","","Made unique name requirement more robust - made check against all lowercase"
"84fe36e","2025-05-23 18:25:58 +1000","Your Name","","Spelling fix"
"4a47ea5","2025-05-23 09:11:21 +1000","Your Name","","Started working on Test Cases"
"622c5f1","2025-05-22 22:36:38 +1000","Your Name","","Finished code, added table via tabulate and many tutorials and AI bug fixing"
"947f8d2","2025-05-22 19:23:47 +1000","Your Name","","Error in formatting caused changes, uses chatGPT to analize and give solution, then used find & replace to fix all isntances"
"f6ac3a3","2025-05-22 19:08:02 +1000","Your Name","","Attempted to simplify code with function, led to ussues, so using more bulk with comments"
"c401a69","2025-05-21 22:09:28 +1000","Your Name","","Working on removing losing team, will remove from 'act_teams' (Active teams)"
"45a66cb","2025-05-21 17:55:01 +1000","Your Name","","Added match structure - based on youtube video"
"2a990eb","2025-05-21 12:52:31 +1000","Your Name","","Started Bye system"
"0e2e7a3","2025-05-20 21:07:28 +1000","Your Name","","Finished (Hopefully) Init leaderboard and tems"
"29ffd9f","2025-05-20 14:20:42 +1000","Your Name","","Worked on Code, Added team selector, and started teams"
"80991bb","2025-05-16 09:25:59 +1000","Your Name","","Finished and uploaded DFD"
"0c66b79","2025-05-16 09:25:21 +1000","Your Name","","Worked on DFD"
"13ba4a6","2025-05-14 14:38:42 +1000","Your Name","","Fixed Spelling"
"8381ef0","2025-05-14 14:34:26 +1000","Your Name","","Finished Structure Chart"
"a9ca494","2025-05-09 14:23:03 +1000","Your Name","","Worked on Structure chart"
"99df3f8","2025-05-09 14:21:02 +1000","Your Name","","Initial upload"
